AnEar,Date,milk_production
123,2023-09-11,72.7
123,2023-09-12,70.8
123,2023-09-13,70.3
123,2023-09-14,70.5
123,2023-09-15,72.0
123,2023-09-16,67.8
123,2023-09-17,78.7
123,2023-09-18,70.6
123,2023-09-19,76.7
123,2023-09-20,75.5
123,2023-09-21,70.2
123,2023-09-22,74.5
123,2023-09-23,68.6
123,2023-09-24,69.1
123,2023-09-25,68.9
123,2023-09-26,60.2
123,2023-09-27,39.5
123,2023-09-28,46.7
123,2023-09-29,61.0
123,2023-09-30,54.7
123,2023-10-01,57.8
123,2023-10-02,63.2
123,2023-10-03,69.9
123,2023-10-04,71.9
123,2023-10-05,59.8
123,2023-10-06,67.3
123,2023-10-07,64.8
123,2023-10-08,61.9
123,2023-10-09,60.9
123,2023-10-10,60.7
123,2023-10-11,57.3
123,2023-10-12,60.1
123,2023-10-13,64.0
123,2023-10-14,57.1
123,2023-10-15,56.5
123,2023-10-16,57.2
123,2023-10-17,58.3
123,2023-10-18,69.8
123,2023-10-19,54.6
123,2023-10-20,54.6
123,2023-10-21,60.8
123,2023-10-22,61.2
123,2023-10-23,54.1
123,2023-10-24,63.8
123,2023-10-25,58.9
123,2023-10-26,55.0
123,2023-10-27,53.8
123,2023-10-28,53.3
123,2023-10-29,52.3
123,2023-10-30,51.7
123,2023-10-31,50.2
123,2023-11-01,47.8
123,2023-11-02,46.7
123,2023-11-03,50.9
123,2023-11-04,52.5
123,2023-11-05,49.3
123,2023-11-06,46.0
123,2023-11-07,49.6
123,2023-11-08,46.6
123,2023-11-09,47.8
1009,2023-04-11,17.3
1009,2023-04-12,48.5
1009,2023-04-13,69.0
1009,2023-04-14,57.7
1009,2023-04-15,85.2
1009,2023-04-16,68.0
1009,2023-04-17,83.4
1009,2023-04-18,78.6
1009,2023-04-19,86.7
1009,2023-04-20,88.7
1009,2023-04-21,96.8
1009,2023-04-22,94.2
1009,2023-04-23,95.8
1009,2023-04-24,106.0
1009,2023-04-25,107.0
1009,2023-04-26,112.0
1009,2023-04-27,117.0
1009,2023-04-28,116.0
1009,2023-04-29,113.0
1009,2023-04-30,114.0
1009,2023-05-01,111.0
1009,2023-05-02,115.0
1009,2023-05-03,113.0
1009,2023-05-04,111.0
1009,2023-05-05,103.0
1009,2023-05-06,94.5
1009,2023-05-07,89.6
1009,2023-05-08,92.5
1009,2023-05-09,104.0
1009,2023-05-10,116.0
1009,2023-05-11,100.0
1009,2023-05-12,104.0
1009,2023-05-13,110.0
1009,2023-05-14,107.0
1009,2023-05-15,121.0
1009,2023-05-16,117.0
1009,2023-05-17,119.0
1009,2023-05-18,104.0
1009,2023-05-19,125.0
1009,2023-05-20,116.0
1009,2023-05-21,123.0
1009,2023-05-22,112.0
1009,2023-05-23,114.0
1009,2023-05-24,116.0
1009,2023-05-25,126.0
1009,2023-05-26,112.0
1009,2023-05-27,122.0
1009,2023-05-28,117.0
1009,2023-05-29,105.0
1009,2023-05-30,119.0
1009,2023-05-31,108.0
1009,2023-06-01,106.0
1009,2023-06-02,113.0
1009,2023-06-03,112.0
1009,2023-06-04,108.0
1009,2023-06-05,114.0
1009,2023-06-06,113.0
1009,2023-06-07,113.0
1009,2023-06-08,108.0
1009,2023-06-09,103.0
1009,2023-06-10,107.0
1009,2023-06-11,111.0
1009,2023-06-12,118.0
1009,2023-06-13,111.0
1009,2023-06-14,110.0
1009,2023-06-15,118.0
1009,2023-06-16,112.0
1009,2023-06-17,109.0
1009,2023-06-18,111.0
1009,2023-06-19,110.0
1009,2023-06-20,113.0
1009,2023-06-21,104.0
1009,2023-06-22,111.0
1009,2023-06-23,113.0
1009,2023-06-24,112.0
1009,2023-06-25,123.0
1009,2023-06-26,107.0
1009,2023-06-27,113.0
1009,2023-06-28,115.0
1009,2023-06-29,113.0
1009,2023-06-30,111.0
1009,2023-07-01,97.0
1009,2023-07-02,114.0
1009,2023-07-03,105.0
1009,2023-07-04,102.0
