Start Time,Duration,activation,batch_size,dim,dropout,dropout_rate,early_stop_patience,encoder_out,epochs,intermediate,learning_rate,optimizer,out_activation,type,error,score
23/05/2024 00:24,9.3s,relu,2,"(92, 62, 98, 205, 240)",0,0.35,0,50,220,1,0.001,adam,sigmoid,undercomplete,0.131083786,0.028980402
23/05/2024 00:24,8.5s,sigmoid,2,"(179, 26, 283, 181, 152)",0,0.25,0,50,90,0,0.0015,adam,sigmoid,undercomplete,0.140028223,0.0311871
22/05/2024 23:17,,sigmoid,4,"(177, 31, 195, 42, 172)",0,0.15,20,150,220,3,0.0015,adam,sigmoid,sparse,0.146870494,0.034178607
23/05/2024 00:14,10.9s,sigmoid,8,"(289, 142, 194, 143, 120)",0,0.15,10,5,160,2,0.001,adam,sigmoid,undercomplete,0.148378909,0.034284085
22/05/2024 16:09,13.2s,sigmoid,2,"(304, 23, 89, 121, 269)",2,0.2,90,50,10,4,0.0005,rmsprop,sigmoid,sparse,0.147780821,0.034308415
23/05/2024 00:27,17.6s,sigmoid,8,"(304, 49, 177, 261, 161)",0,0.35,50,5,200,3,0.002,rmsprop,sigmoid,sparse,0.149471447,0.034337368
23/05/2024 00:13,13.9s,sigmoid,16,"(140, 257, 128, 85, 67)",0,0.3,40,5,190,2,0.002,adam,sigmoid,sparse,0.148064733,0.034356486
22/05/2024 16:58,23.7s,sigmoid,4,"(104, 137, 168, 228, 20)",1,0.25,50,50,250,4,0.001,adam,sigmoid,sparse,0.147394672,0.034388252
23/05/2024 00:09,17.5s,relu,4,"(278, 235, 57, 226, 259)",0,0.25,30,5,120,1,0.0015,adam,sigmoid,sparse,0.147809684,0.03441447
22/05/2024 23:36,34.3s,sigmoid,16,"(164, 255, 191, 109, 242)",0,0.05,20,50,290,3,0.002,rmsprop,sigmoid,sparse,0.149710178,0.034417644
22/05/2024 16:38,29.4s,sigmoid,4,"(64, 114, 184, 218, 185)",2,0.35,50,50,260,5,0.002,adam,sigmoid,undercomplete,0.148295462,0.03444849
22/05/2024 23:49,13.5s,relu,2,"(195, 280, 22, 25, 204)",0,0.3,10,5,120,2,0.001,adam,sigmoid,sparse,0.148422018,0.034456067
22/05/2024 16:10,23.3s,softmax,4,"(245, 240, 152, 255, 58)",2,0.35,80,50,70,4,0.001,rmsprop,sigmoid,undercomplete,0.148146316,0.034476846
